School Name,Division Name,free_reduced_lunch_percentage,Sch_Div
Cardinal Elementary,Richmond City Public Schools,100,Cardinal Elementary Richmond City Public Schools
J.L. Francis Elementary,Richmond City Public Schools,100,J.L. Francis Elementary Richmond City Public Schools
Oak Grove/Bellemeade Elementary,Richmond City Public Schools,100,Oak Grove/Bellemeade Elementary Richmond City Public Schools
Southampton Elementary,Richmond City Public Schools,100,Southampton Elementary Richmond City Public Schools
Huguenot High,Richmond City Public Schools,100,Huguenot High Richmond City Public Schools
Elizabeth D. Redd Elementary,Richmond City Public Schools,100,Elizabeth D. Redd Elementary Richmond City Public Schools
Westover Hills Elementary,Richmond City Public Schools,100,Westover Hills Elementary Richmond City Public Schools
G.H. Reid Elementary,Richmond City Public Schools,100,G.H. Reid Elementary Richmond City Public Schools
Mary Munford Elementary,Richmond City Public Schools,100,Mary Munford Elementary Richmond City Public Schools
Henderson Middle,Richmond City Public Schools,100,Henderson Middle Richmond City Public Schools
John Marshall High,Richmond City Public Schools,100,John Marshall High Richmond City Public Schools
Thomas Jefferson High,Richmond City Public Schools,100,Thomas Jefferson High Richmond City Public Schools
Broad Rock Elementary,Richmond City Public Schools,100,Broad Rock Elementary Richmond City Public Schools
Thomas C. Boushall Middle,Richmond City Public Schools,100,Thomas C. Boushall Middle Richmond City Public Schools
J.B. Fisher Elementary,Richmond City Public Schools,100,J.B. Fisher Elementary Richmond City Public Schools
Linwood Holton Elementary,Richmond City Public Schools,100,Linwood Holton Elementary Richmond City Public Schools
Franklin Military Academy,Richmond City Public Schools,100,Franklin Military Academy Richmond City Public Schools
William Fox Elementary,Richmond City Public Schools,100,William Fox Elementary Richmond City Public Schools
Arthur R. Ware Elementary,Staunton City Public Schools,74.5,Arthur R. Ware Elementary Staunton City Public Schools
Thomas C. McSwain Elementary,Staunton City Public Schools,35.1,Thomas C. McSwain Elementary Staunton City Public Schools
Staunton High,Staunton City Public Schools,38,Staunton High Staunton City Public Schools
Shelburne Middle,Staunton City Public Schools,74.5,Shelburne Middle Staunton City Public Schools
Bessie Weller Elementary,Staunton City Public Schools,74.5,Bessie Weller Elementary Staunton City Public Schools
Sussex Central High,Sussex County Public Schools,87.9,Sussex Central High Sussex County Public Schools
Sussex Central Elementary,Sussex County Public Schools,88.1,Sussex Central Elementary Sussex County Public Schools
Sussex Central Middle,Sussex County Public Schools,88.1,Sussex Central Middle Sussex County Public Schools
E. Wilson Morrison Elementary,Warren County Public Schools,90.9,E. Wilson Morrison Elementary Warren County Public Schools
Hilda J. Barbour Elementary,Warren County Public Schools,40,Hilda J. Barbour Elementary Warren County Public Schools
Leslie Fox Keyser Elementary,Warren County Public Schools,42.4,Leslie Fox Keyser Elementary Warren County Public Schools
Ressie Jeffries Elementary,Warren County Public Schools,55,Ressie Jeffries Elementary Warren County Public Schools
Skyline High,Warren County Public Schools,37.6,Skyline High Warren County Public Schools
Skyline Middle,Warren County Public Schools,50,Skyline Middle Warren County Public Schools
Warren County High,Warren County Public Schools,36.2,Warren County High Warren County Public Schools
Warren County Middle,Warren County Public Schools,40.8,Warren County Middle Warren County Public Schools
A.S. Rhodes Elementary,Warren County Public Schools,37.3,A.S. Rhodes Elementary Warren County Public Schools
Amherst County High,Amherst County Public Schools,41.4,Amherst County High Amherst County Public Schools
Amherst Elementary,Amherst County Public Schools,46,Amherst Elementary Amherst County Public Schools
Amherst Middle,Amherst County Public Schools,47.7,Amherst Middle Amherst County Public Schools
Central Elementary,Amherst County Public Schools,90.1,Central Elementary Amherst County Public Schools
Temperance Elementary,Amherst County Public Schools,47.1,Temperance Elementary Amherst County Public Schools
Amelon Elementary,Amherst County Public Schools,53,Amelon Elementary Amherst County Public Schools
Madison Heights Elementary,Amherst County Public Schools,89.9,Madison Heights Elementary Amherst County Public Schools
Monelison Middle,Amherst County Public Schools,56.4,Monelison Middle Amherst County Public Schools
Elon Elementary,Amherst County Public Schools,41.2,Elon Elementary Amherst County Public Schools
Buffalo Gap High,Augusta County Public Schools,35.1,Buffalo Gap High Augusta County Public Schools
Beverley Manor Middle,Augusta County Public Schools,39.8,Beverley Manor Middle Augusta County Public Schools
Riverheads Elementary,Augusta County Public Schools,44.5,Riverheads Elementary Augusta County Public Schools
Riverheads High,Augusta County Public Schools,31.1,Riverheads High Augusta County Public Schools
Churchville Elementary,Augusta County Public Schools,37.1,Churchville Elementary Augusta County Public Schools
Wilson Memorial High,Augusta County Public Schools,32.2,Wilson Memorial High Augusta County Public Schools
Wilson Middle,Augusta County Public Schools,38.7,Wilson Middle Augusta County Public Schools
Edward G. Clymore Elementary,Augusta County Public Schools,41.2,Edward G. Clymore Elementary Augusta County Public Schools
Fort Defiance High,Augusta County Public Schools,28.8,Fort Defiance High Augusta County Public Schools
S. Gordon Stewart Middle,Augusta County Public Schools,41.9,S. Gordon Stewart Middle Augusta County Public Schools
Guy K. Stump Elementary,Augusta County Public Schools,39,Guy K. Stump Elementary Augusta County Public Schools
Stuarts Draft High,Augusta County Public Schools,32.1,Stuarts Draft High Augusta County Public Schools
Stuarts Draft Middle,Augusta County Public Schools,39.8,Stuarts Draft Middle Augusta County Public Schools
Wilson Elementary,Augusta County Public Schools,37.7,Wilson Elementary Augusta County Public Schools
Cassell Elementary,Augusta County Public Schools,47.5,Cassell Elementary Augusta County Public Schools
Craigsville Elementary,Augusta County Public Schools,83.3,Craigsville Elementary Augusta County Public Schools
North River Elementary,Augusta County Public Schools,45.6,North River Elementary Augusta County Public Schools
Stuarts Draft Elementary,Augusta County Public Schools,44.1,Stuarts Draft Elementary Augusta County Public Schools
Forest Elementary,Bedford County Public Schools,13.5,Forest Elementary Bedford County Public Schools
Forest Middle,Bedford County Public Schools,19.5,Forest Middle Bedford County Public Schools
Jefferson Forest High,Bedford County Public Schools,16.9,Jefferson Forest High Bedford County Public Schools
New London Academy Elementary,Bedford County Public Schools,18.2,New London Academy Elementary Bedford County Public Schools
Moneta Elementary,Bedford County Public Schools,57.6,Moneta Elementary Bedford County Public Schools
Staunton River High,Bedford County Public Schools,49,Staunton River High Bedford County Public Schools
Bedford Elementary,Bedford County Public Schools,61.5,Bedford Elementary Bedford County Public Schools
Liberty High,Bedford County Public Schools,48.7,Liberty High Bedford County Public Schools
Liberty Middle,Bedford County Public Schools,51.1,Liberty Middle Bedford County Public Schools
Goodview Elementary,Bedford County Public Schools,49.3,Goodview Elementary Bedford County Public Schools
Stewartsville Elementary,Bedford County Public Schools,64.3,Stewartsville Elementary Bedford County Public Schools
Montvale Elementary,Bedford County Public Schools,59.9,Montvale Elementary Bedford County Public Schools
Boonsboro Elementary,Bedford County Public Schools,22,Boonsboro Elementary Bedford County Public Schools
Big Island Elementary,Bedford County Public Schools,48.4,Big Island Elementary Bedford County Public Schools
Staunton River Middle,Bedford County Public Schools,53.1,Staunton River Middle Bedford County Public Schools
Thomas Jefferson Elementary,Bedford County Public Schools,21.6,Thomas Jefferson Elementary Bedford County Public Schools
Huddleston Elementary,Bedford County Public Schools,51.9,Huddleston Elementary Bedford County Public Schools
Otter River Elementary,Bedford County Public Schools,36.1,Otter River Elementary Bedford County Public Schools
St. Paul,Carroll County Public Schools,73.6,St. Paul Carroll County Public Schools
Gladeville Elementary,Carroll County Public Schools,66.8,Gladeville Elementary Carroll County Public Schools
Fancy Gap Elementary,Carroll County Public Schools,42.6,Fancy Gap Elementary Carroll County Public Schools
Gladesboro Elementary,Carroll County Public Schools,67.2,Gladesboro Elementary Carroll County Public Schools
Laurel Elementary,Carroll County Public Schools,60.2,Laurel Elementary Carroll County Public Schools
Carroll County High,Carroll County Public Schools,48.5,Carroll County High Carroll County Public Schools
Hillsville Elementary,Carroll County Public Schools,62.6,Hillsville Elementary Carroll County Public Schools
Carroll County Middle,Carroll County Public Schools,59.8,Carroll County Middle Carroll County Public Schools
Oakland Elementary,Carroll County Public Schools,67,Oakland Elementary Carroll County Public Schools
Colonial Beach Elementary,Colonial Beach Public Schools,77.6,Colonial Beach Elementary Colonial Beach Public Schools
Colonial Beach High,Colonial Beach Public Schools,77.5,Colonial Beach High Colonial Beach Public Schools
Terra Centre Elementary,Fairfax County Public Schools,9.5,Terra Centre Elementary Fairfax County Public Schools
Gunston Elementary,Fairfax County Public Schools,34.6,Gunston Elementary Fairfax County Public Schools
Laurel Hill Elementary,Fairfax County Public Schools,16.2,Laurel Hill Elementary Fairfax County Public Schools
Lorton Station Elementary,Fairfax County Public Schools,51.5,Lorton Station Elementary Fairfax County Public Schools
South County High,Fairfax County Public Schools,20.7,South County High Fairfax County Public Schools
South County Middle,Fairfax County Public Schools,22.9,South County Middle Fairfax County Public Schools
Chesterbrook Elementary,Fairfax County Public Schools,1.7,Chesterbrook Elementary Fairfax County Public Schools
Churchill Road Elementary,Fairfax County Public Schools,1.8,Churchill Road Elementary Fairfax County Public Schools
Cooper Middle,Fairfax County Public Schools,1.7,Cooper Middle Fairfax County Public Schools
Kent Gardens Elementary,Fairfax County Public Schools,1.6,Kent Gardens Elementary Fairfax County Public Schools
Langley High,Fairfax County Public Schools,2.1,Langley High Fairfax County Public Schools
McLean High,Fairfax County Public Schools,9,McLean High Fairfax County Public Schools
Spring Hill Elementary,Fairfax County Public Schools,4.2,Spring Hill Elementary Fairfax County Public Schools
Waples Mill Elementary,Fairfax County Public Schools,9.9,Waples Mill Elementary Fairfax County Public Schools
Dogwood Elementary,Fairfax County Public Schools,82.6,Dogwood Elementary Fairfax County Public Schools
Archer Elementary,Fairfax County Public Schools,9.9,Archer Elementary Fairfax County Public Schools
Cunningham Park Elementary,Fairfax County Public Schools,31.8,Cunningham Park Elementary Fairfax County Public Schools
Flint Hill Elementary,Fairfax County Public Schools,6.9,Flint Hill Elementary Fairfax County Public Schools
Oakton High,Fairfax County Public Schools,10.9,Oakton High Fairfax County Public Schools
Colvin Run Elementary,Fairfax County Public Schools,1.7,Colvin Run Elementary Fairfax County Public Schools
Freedom Hill Elementary,Fairfax County Public Schools,28.1,Freedom Hill Elementary Fairfax County Public Schools
Kilmer Center,Fairfax County Public Schools,29.7,Kilmer Center Fairfax County Public Schools
