School Name,Division Name,End_of_Year_Average_Daily_Membership,School_Level_Expenditures_Per_Pupil_Federal,School_Level_Expenditures_Per_Pupil_State,Division_Level_Expenditures_Per_Pupil_Federal,Division_Level_Expenditures_Per_Pupil_State,Total_Per_Pupil_Expenditures,Total_Expenditures,Sch_Div
John Handley High,Winchester City Public Schools,1317.54,506,9088,963,4876,15433,20334227,John Handley High Winchester City Public Schools
Western Albemarle High,Albemarle County Public Schools,1137.72,430,10502,471,3799,15202,17295806,Western Albemarle High Albemarle County Public Schools
Stony Point Elementary,Albemarle County Public Schools,187.7,800,13657,471,3799,18727,3515095,Stony Point Elementary Albemarle County Public Schools
Meriwether Lewis Elementary,Albemarle County Public Schools,320.38,642,11313,471,3799,16225,5198228,Meriwether Lewis Elementary Albemarle County Public Schools
Leslie H. Walton Middle,Albemarle County Public Schools,327.84,495,15335,471,3799,20100,6589575,Leslie H. Walton Middle Albemarle County Public Schools
Baker-Butler Elem,Albemarle County Public Schools,689.5,341,10217,471,3799,14828,10223944,Baker-Butler Elem Albemarle County Public Schools
Scottsville Elementary,Albemarle County Public Schools,214.65,887,13005,471,3799,18162,3898559,Scottsville Elementary Albemarle County Public Schools
Red Hill Elementary,Albemarle County Public Schools,184.26,1873,12149,471,3799,18292,3370475,Red Hill Elementary Albemarle County Public Schools
Woodbrook Elementary,Albemarle County Public Schools,577.32,829,11353,471,3799,16451,9497609,Woodbrook Elementary Albemarle County Public Schools
Agnor-Hurt Elementary,Albemarle County Public Schools,456.75,1110,11597,471,3799,16977,7754282,Agnor-Hurt Elementary Albemarle County Public Schools
Mary Carr Greer Elementary,Albemarle County Public Schools,493.27,1076,12486,471,3799,17832,8795880,Mary Carr Greer Elementary Albemarle County Public Schools
Mountain View Elementary,Albemarle County Public Schools,732.28,810,12457,471,3799,17537,12842114,Mountain View Elementary Albemarle County Public Schools
Monticello High,Albemarle County Public Schools,1198.55,426,10688,471,3799,15384,18438565,Monticello High Albemarle County Public Schools
Jackson P. Burley Middle,Albemarle County Public Schools,596.72,266,11366,471,3799,15901,9488731,Jackson P. Burley Middle Albemarle County Public Schools
Community Lab School,Albemarle County Public Schools,187.86,2,14337,471,3799,18609,3495833,Community Lab School Albemarle County Public Schools
Virginia L. Murray Elementary,Albemarle County Public Schools,264.9,521,12054,471,3799,16845,4462120,Virginia L. Murray Elementary Albemarle County Public Schools
Stone Robinson Elementary,Albemarle County Public Schools,472.91,652,11365,471,3799,16286,7701871,Stone Robinson Elementary Albemarle County Public Schools
Hollymead Elementary,Albemarle County Public Schools,349.56,614,12121,471,3799,17004,5943953,Hollymead Elementary Albemarle County Public Schools
Journey Middle,Albemarle County Public Schools,700.57,283,10703,471,3799,15255,10687319,Journey Middle Albemarle County Public Schools
Albemarle High,Albemarle County Public Schools,1904.17,262,11067,471,3799,15599,29702664,Albemarle High Albemarle County Public Schools
Brownsville Elementary,Albemarle County Public Schools,761.23,221,10179,471,3799,14670,11167204,Brownsville Elementary Albemarle County Public Schools
Joseph T. Henley Middle,Albemarle County Public Schools,833.58,386,10290,471,3799,14945,12458249,Joseph T. Henley Middle Albemarle County Public Schools
Lakeside Middle,Albemarle County Public Schools,538.68,426,10648,471,3799,15344,8265500,Lakeside Middle Albemarle County Public Schools
Broadus Wood Elementary,Albemarle County Public Schools,264.04,379,12427,471,3799,17076,4508851,Broadus Wood Elementary Albemarle County Public Schools
Crozet Elementary,Albemarle County Public Schools,326.51,657,11703,471,3799,16630,5429968,Crozet Elementary Albemarle County Public Schools
Arlington Science Focus School,Arlington County Public Schools,464.66,23,9603,968,7589,18183,8448730,Arlington Science Focus School Arlington County Public Schools
Long Branch Elementary,Arlington County Public Schools,405.47,22,20430,968,7589,29009,11762303,Long Branch Elementary Arlington County Public Schools
Washington-Liberty High,Arlington County Public Schools,2514.97,0,9431,968,7589,17988,45240263,Washington-Liberty High Arlington County Public Schools
Barrett Elementary,Arlington County Public Schools,537.85,874,15048,968,7589,24479,13166083,Barrett Elementary Arlington County Public Schools
Alice West Fleet Elementary,Arlington County Public Schools,600.87,49,11639,968,7589,20246,12165285,Alice West Fleet Elementary Arlington County Public Schools
Barcroft Elementary,Arlington County Public Schools,457.3,1232,13971,968,7589,23760,10865536,Barcroft Elementary Arlington County Public Schools
Carlin Springs Elementary,Arlington County Public Schools,548.24,1140,15036,968,7589,24733,13559878,Carlin Springs Elementary Arlington County Public Schools
Hoffman-Boston Elementary,Arlington County Public Schools,582.72,606,14049,968,7589,23212,13526184,Hoffman-Boston Elementary Arlington County Public Schools
Kenmore Middle,Arlington County Public Schools,1018.15,0,13351,968,7589,21908,22305858,Kenmore Middle Arlington County Public Schools
Randolph Elementary,Arlington County Public Schools,428.45,1240,15234,968,7589,25032,10724809,Randolph Elementary Arlington County Public Schools
Arlington Traditional,Arlington County Public Schools,661.97,198,10785,968,7589,19540,12935041,Arlington Traditional Arlington County Public Schools
Ashlawn Elementary,Arlington County Public Schools,542.68,0,13882,968,7589,22439,12177285,Ashlawn Elementary Arlington County Public Schools
Cardinal Elementary,Arlington County Public Schools,659.14,176,9991,968,7589,18725,12342385,Cardinal Elementary Arlington County Public Schools
Escuela Key Elementary,Arlington County Public Schools,618.31,0,11803,968,7589,20361,12589256,Escuela Key Elementary Arlington County Public Schools
Swanson Middle,Arlington County Public Schools,955.38,0,11692,968,7589,20249,19345726,Swanson Middle Arlington County Public Schools
Gunston Middle,Arlington County Public Schools,1171.77,55,11155,968,7589,19767,23162708,Gunston Middle Arlington County Public Schools
Dorothy Hamm Middle,Arlington County Public Schools,919.71,13,10216,968,7589,18786,17277940,Dorothy Hamm Middle Arlington County Public Schools
Glebe Elementary,Arlington County Public Schools,540.52,0,11954,968,7589,20512,11086929,Glebe Elementary Arlington County Public Schools
Jamestown Elementary,Arlington County Public Schools,501.03,0,13040,968,7589,21597,10820874,Jamestown Elementary Arlington County Public Schools
Nottingham Elementary,Arlington County Public Schools,410.27,0,11515,968,7589,20072,8235021,Nottingham Elementary Arlington County Public Schools
Williamsburg Middle,Arlington County Public Schools,830.34,3,12069,968,7589,20629,17129179,Williamsburg Middle Arlington County Public Schools
Tuckahoe Elementary,Arlington County Public Schools,432.56,42,13126,968,7589,21725,9397347,Tuckahoe Elementary Arlington County Public Schools
Dr. Charles R. Drew Elementary,Arlington County Public Schools,459.8,1132,15988,968,7589,25677,11806493,Dr. Charles R. Drew Elementary Arlington County Public Schools
Abingdon Elementary,Arlington County Public Schools,713.01,790,13193,968,7589,22540,16071597,Abingdon Elementary Arlington County Public Schools
Jefferson Middle,Arlington County Public Schools,935.27,40,13821,968,7589,22419,20967663,Jefferson Middle Arlington County Public Schools
Discovery Elementary,Arlington County Public Schools,518.48,0,11500,968,7589,20058,10399613,Discovery Elementary Arlington County Public Schools
Oakridge Elementary,Arlington County Public Schools,634.85,181,11078,968,7589,19817,12580998,Oakridge Elementary Arlington County Public Schools
Wakefield High,Arlington County Public Schools,2713.48,0,9220,968,7589,17778,48239709,Wakefield High Arlington County Public Schools
Yorktown High,Arlington County Public Schools,2495.85,1,9206,968,7589,17764,44337287,Yorktown High Arlington County Public Schools
Taylor Elementary,Arlington County Public Schools,523.19,79,11576,968,7589,20212,10574929,Taylor Elementary Arlington County Public Schools
Montessori Public School of Arlington,Arlington County Public Schools,496.32,0,13270,968,7589,21828,10833494,Montessori Public School of Arlington Arlington County Public Schools
Arlington Community High,Arlington County Public Schools,190.67,10,143,968,7589,8711,1660871,Arlington Community High Arlington County Public Schools
Campbell Elementary,Arlington County Public Schools,426.39,1065,13934,968,7589,23557,10044425,Campbell Elementary Arlington County Public Schools
Claremont Immersion,Arlington County Public Schools,671.23,170,11197,968,7589,19924,13373510,Claremont Immersion Arlington County Public Schools
Buchanan Elementary,Botetourt County Public Schools,308.79,773,8367,145,2883,12168,3757306,Buchanan Elementary Botetourt County Public Schools
James River High,Botetourt County Public Schools,462.65,325,9152,145,2883,12506,5785796,James River High Botetourt County Public Schools
Breckinridge Elementary,Botetourt County Public Schools,174.9,553,11384,145,2883,14966,2617573,Breckinridge Elementary Botetourt County Public Schools
Central Academy Middle,Botetourt County Public Schools,354.78,531,10841,145,2883,14400,5108956,Central Academy Middle Botetourt County Public Schools
Read Mountain Middle,Botetourt County Public Schools,630.34,476,8728,145,2883,12233,7710807,Read Mountain Middle Botetourt County Public Schools
Eagle Rock Elementary,Botetourt County Public Schools,125.35,982,10921,145,2883,14932,1871739,Eagle Rock Elementary Botetourt County Public Schools
Greenfield Elementary,Botetourt County Public Schools,434.67,667,8583,145,2883,12278,5337083,Greenfield Elementary Botetourt County Public Schools
Troutville Elementary,Botetourt County Public Schools,263.96,434,8930,145,2883,12392,3271067,Troutville Elementary Botetourt County Public Schools
Cloverdale Elementary,Botetourt County Public Schools,262.16,132,9089,145,2883,12249,3211164,Cloverdale Elementary Botetourt County Public Schools
Colonial Elementary,Botetourt County Public Schools,442.06,261,7817,145,2883,11107,4909832,Colonial Elementary Botetourt County Public Schools
Lord Botetourt High,Botetourt County Public Schools,980.87,141,7925,145,2883,11094,10882028,Lord Botetourt High Botetourt County Public Schools
Red Oak-Sturgeon Elementary,Brunswick County Public Schools,184.36,1187,5958,1961,5489,14595,2690665,Red Oak-Sturgeon Elementary Brunswick County Public Schools
Brunswick High,Brunswick County Public Schools,433.24,375,9555,1961,5489,17381,7530251,Brunswick High Brunswick County Public Schools
James S. Russell Middle,Brunswick County Public Schools,325.7,342,7927,1961,5489,15719,5119561,James S. Russell Middle Brunswick County Public Schools
Meherrin Powellton Elementary,Brunswick County Public Schools,180.3,1176,6065,1961,5489,14691,2648756,Meherrin Powellton Elementary Brunswick County Public Schools
Totaro Elementary,Brunswick County Public Schools,296.57,2706,9198,1961,5489,19355,5740030,Totaro Elementary Brunswick County Public Schools
Enderly Heights Elementary,Buena Vista City Public Schools,179.19,1645,5752,791,4037,12225,2190677,Enderly Heights Elementary Buena Vista City Public Schools
Parry McCluer High,Buena Vista City Public Schools,337.99,614,8208,791,4037,13650,4613527,Parry McCluer High Buena Vista City Public Schools
Parry McCluer Middle,Buena Vista City Public Schools,114.46,1065,10746,791,4037,16639,1904478,Parry McCluer Middle Buena Vista City Public Schools
Bacon District Elementary,Charlotte County Public Schools,163.99,2017,7647,957,4363,14984,2457222,Bacon District Elementary Charlotte County Public Schools
Eureka Elementary,Charlotte County Public Schools,431.74,788,6045,957,4363,12154,5247528,Eureka Elementary Charlotte County Public Schools
Randolph-Henry High,Charlotte County Public Schools,493.97,293,7979,957,4363,13593,6714452,Randolph-Henry High Charlotte County Public Schools
Central Middle,Charlotte County Public Schools,367.95,535,7251,957,4363,13107,4822840,Central Middle Charlotte County Public Schools
Phenix Elementary,Charlotte County Public Schools,217.09,1519,6785,957,4363,13624,2957696,Phenix Elementary Charlotte County Public Schools
Ridgeview High,Dickenson County Public Schools,593.71,519,9212,608,3557,13896,8250027,Ridgeview High Dickenson County Public Schools
Ridgeview Middle,Dickenson County Public Schools,420.16,586,7496,608,3557,12246,5145265,Ridgeview Middle Dickenson County Public Schools
Ervinton Elementary,Dickenson County Public Schools,137.61,1772,10588,608,3557,16525,2273993,Ervinton Elementary Dickenson County Public Schools
Sandlick Elementary,Dickenson County Public Schools,377.56,952,6700,608,3557,11817,4461569,Sandlick Elementary Dickenson County Public Schools
Clintwood Elementary,Dickenson County Public Schools,416.94,794,6218,608,3557,11177,4659992,Clintwood Elementary Dickenson County Public Schools
Dinwiddie County High,Dinwiddie County Public Schools,1254.26,469,9021,197,2355,12042,15103272,Dinwiddie County High Dinwiddie County Public Schools
Dinwiddie County Middle,Dinwiddie County Public Schools,938.59,348,8615,197,2355,11515,10808062,Dinwiddie County Middle Dinwiddie County Public Schools
Southside Elementary,Dinwiddie County Public Schools,456.02,1093,10325,197,2355,13970,6370478,Southside Elementary Dinwiddie County Public Schools
Midway Elementary,Dinwiddie County Public Schools,352.01,638,9382,197,2355,12572,4425446,Midway Elementary Dinwiddie County Public Schools
Dinwiddie Elementary,Dinwiddie County Public Schools,350,1316,10720,197,2355,14588,5105923,Dinwiddie Elementary Dinwiddie County Public Schools
Sunnyside Elementary,Dinwiddie County Public Schools,264.29,1584,10989,197,2355,15125,3997497,Sunnyside Elementary Dinwiddie County Public Schools
Sutherland Elementary,Dinwiddie County Public Schools,551.96,879,8633,197,2355,12064,6658938,Sutherland Elementary Dinwiddie County Public Schools
Middletown Elementary,Frederick County Public Schools,571.75,429,9374,136,2885,12824,7332327,Middletown Elementary Frederick County Public Schools
