School,Division,Poverty_Level,Title_1_Code,Provisional_Percent,Sch_Div
Chickahominy Middle,Hanover County Public Schools,Low Poverty,Non-Title I,3.2,Chickahominy Middle Hanover County Public Schools
Atlee High,Hanover County Public Schools,Low Poverty,Non-Title I,3.4,Atlee High Hanover County Public Schools
South Anna Elementary,Hanover County Public Schools,Low Poverty,Non-Title I,5.1,South Anna Elementary Hanover County Public Schools
Cool Spring Elementary,Hanover County Public Schools,Low Poverty,Non-Title I,8.6,Cool Spring Elementary Hanover County Public Schools
Glen Lea Elementary,Henrico County Public Schools,High Poverty,Title I,16.7,Glen Lea Elementary Henrico County Public Schools
Laburnum Elementary,Henrico County Public Schools,High Poverty,Title I,10,Laburnum Elementary Henrico County Public Schools
Fairfield Middle,Henrico County Public Schools,High Poverty,Non-Title I,19.2,Fairfield Middle Henrico County Public Schools
Harold Macon Ratcliffe Elementary,Henrico County Public Schools,High Poverty,Title I,10,Harold Macon Ratcliffe Elementary Henrico County Public Schools
Harvie Elementary,Henrico County Public Schools,High Poverty,Title I,2.6,Harvie Elementary Henrico County Public Schools
Jacob L. Adams Elementary,Henrico County Public Schools,High Poverty,Title I,0,Jacob L. Adams Elementary Henrico County Public Schools
Chamberlayne Elementary,Henrico County Public Schools,Medium Poverty,Title I,6.9,Chamberlayne Elementary Henrico County Public Schools
L. Douglas Wilder Middle,Henrico County Public Schools,High Poverty,Non-Title I,15.8,L. Douglas Wilder Middle Henrico County Public Schools
Brookland Middle,Henrico County Public Schools,High Poverty,Non-Title I,6.9,Brookland Middle Henrico County Public Schools
Elizabeth Holladay Elementary,Henrico County Public Schools,High Poverty,Title I,3.8,Elizabeth Holladay Elementary Henrico County Public Schools
George H. Moody Middle,Henrico County Public Schools,Low Poverty,Non-Title I,10.1,George H. Moody Middle Henrico County Public Schools
Hermitage High,Henrico County Public Schools,Medium Poverty,Non-Title I,13.8,Hermitage High Henrico County Public Schools
Lakeside Elementary,Henrico County Public Schools,Medium Poverty,Title I,2.9,Lakeside Elementary Henrico County Public Schools
Douglas S. Freeman High,Henrico County Public Schools,Medium Poverty,Non-Title I,4.2,Douglas S. Freeman High Henrico County Public Schools
Ridge Elementary,Henrico County Public Schools,High Poverty,Title I,6.7,Ridge Elementary Henrico County Public Schools
Three Chopt Elementary,Henrico County Public Schools,Medium Poverty,Non-Title I,13.6,Three Chopt Elementary Henrico County Public Schools
Tuckahoe Elementary,Henrico County Public Schools,Low Poverty,Non-Title I,0,Tuckahoe Elementary Henrico County Public Schools
Tuckahoe Middle,Henrico County Public Schools,Low Poverty,Non-Title I,6.7,Tuckahoe Middle Henrico County Public Schools
Charles M. Johnson Elementary,Henrico County Public Schools,High Poverty,Title I,12.5,Charles M. Johnson Elementary Henrico County Public Schools
George F. Baker Elementary,Henrico County Public Schools,Medium Poverty,Title I,13.3,George F. Baker Elementary Henrico County Public Schools
Henry D. Ward Elementary,Henrico County Public Schools,High Poverty,Title I,10.8,Henry D. Ward Elementary Henrico County Public Schools
John Rolfe Middle,Henrico County Public Schools,High Poverty,Non-Title I,13.9,John Rolfe Middle Henrico County Public Schools
Montrose Elementary,Henrico County Public Schools,High Poverty,Title I,22.2,Montrose Elementary Henrico County Public Schools
Varina Elementary,Henrico County Public Schools,Medium Poverty,Non-Title I,0,Varina Elementary Henrico County Public Schools
Varina High,Henrico County Public Schools,Medium Poverty,Non-Title I,16.4,Varina High Henrico County Public Schools
Gayton Elementary,Henrico County Public Schools,Low Poverty,Non-Title I,5.6,Gayton Elementary Henrico County Public Schools
Nuckols Farm Elementary,Henrico County Public Schools,Low Poverty,Non-Title I,0,Nuckols Farm Elementary Henrico County Public Schools
Pemberton Elementary,Henrico County Public Schools,Low Poverty,Non-Title I,0,Pemberton Elementary Henrico County Public Schools
Quioccasin Middle,Henrico County Public Schools,Medium Poverty,Non-Title I,5.1,Quioccasin Middle Henrico County Public Schools
Short Pump Elementary,Henrico County Public Schools,Low Poverty,Non-Title I,0,Short Pump Elementary Henrico County Public Schools
Mills E. Godwin High,Henrico County Public Schools,Low Poverty,Non-Title I,5.6,Mills E. Godwin High Henrico County Public Schools
John Randolph Tucker High,Henrico County Public Schools,Medium Poverty,Non-Title I,5,John Randolph Tucker High Henrico County Public Schools
R.C. Longan Elementary,Henrico County Public Schools,Medium Poverty,Non-Title I,3.3,R.C. Longan Elementary Henrico County Public Schools
Cashell Donahoe Elementary,Henrico County Public Schools,High Poverty,Title I,5.6,Cashell Donahoe Elementary Henrico County Public Schools
Elko Middle,Henrico County Public Schools,Medium Poverty,Non-Title I,20,Elko Middle Henrico County Public Schools
Sandston Elementary,Henrico County Public Schools,High Poverty,Title I,10.5,Sandston Elementary Henrico County Public Schools
Seven Pines Elementary,Henrico County Public Schools,Medium Poverty,Non-Title I,4.3,Seven Pines Elementary Henrico County Public Schools
Colonial Trail Elementary,Henrico County Public Schools,Low Poverty,Non-Title I,2.4,Colonial Trail Elementary Henrico County Public Schools
Deep Run High,Henrico County Public Schools,Low Poverty,Non-Title I,5.3,Deep Run High Henrico County Public Schools
Rivers Edge Elementary,Henrico County Public Schools,Low Poverty,Non-Title I,2.2,Rivers Edge Elementary Henrico County Public Schools
Shady Grove Elementary,Henrico County Public Schools,Low Poverty,Non-Title I,0,Shady Grove Elementary Henrico County Public Schools
Twin Hickory Elementary,Henrico County Public Schools,Low Poverty,Non-Title I,0,Twin Hickory Elementary Henrico County Public Schools
Glen Allen High,Henrico County Public Schools,Low Poverty,Non-Title I,5.9,Glen Allen High Henrico County Public Schools
Longdale Elementary,Henrico County Public Schools,High Poverty,Title I,2.9,Longdale Elementary Henrico County Public Schools
Short Pump Middle,Henrico County Public Schools,Low Poverty,Non-Title I,11.6,Short Pump Middle Henrico County Public Schools
Springfield Park Elementary,Henrico County Public Schools,Low Poverty,Non-Title I,0,Springfield Park Elementary Henrico County Public Schools
Fair Oaks Elementary,Henrico County Public Schools,High Poverty,Title I,15.6,Fair Oaks Elementary Henrico County Public Schools
Highland Springs Elementary,Henrico County Public Schools,High Poverty,Title I,0,Highland Springs Elementary Henrico County Public Schools
Highland Springs High,Henrico County Public Schools,Medium Poverty,Non-Title I,16.9,Highland Springs High Henrico County Public Schools
Maude Trevvett Elementary,Henrico County Public Schools,Medium Poverty,Non-Title I,2.9,Maude Trevvett Elementary Henrico County Public Schools
Pocahontas Middle,Henrico County Public Schools,Low Poverty,Non-Title I,5,Pocahontas Middle Henrico County Public Schools
Echo Lake Elementary,Henrico County Public Schools,Low Poverty,Non-Title I,0,Echo Lake Elementary Henrico County Public Schools
Glen Allen Elementary,Henrico County Public Schools,Low Poverty,Non-Title I,2.5,Glen Allen Elementary Henrico County Public Schools
Dumbarton Elementary,Henrico County Public Schools,Medium Poverty,Title I,0,Dumbarton Elementary Henrico County Public Schools
Crestview Elementary,Henrico County Public Schools,Medium Poverty,Non-Title I,0,Crestview Elementary Henrico County Public Schools
Maybeury Elementary,Henrico County Public Schools,Medium Poverty,Non-Title I,0,Maybeury Elementary Henrico County Public Schools
Henrico High,Henrico County Public Schools,Medium Poverty,Non-Title I,13.9,Henrico High Henrico County Public Schools
Skipwith Elementary,Henrico County Public Schools,Medium Poverty,Non-Title I,2.7,Skipwith Elementary Henrico County Public Schools
Pinchbeck Elementary,Henrico County Public Schools,Medium Poverty,Non-Title I,0,Pinchbeck Elementary Henrico County Public Schools
Ruby F. Carver Elementary,Henrico County Public Schools,Medium Poverty,Non-Title I,6.5,Ruby F. Carver Elementary Henrico County Public Schools
Jackson Davis Elementary,Henrico County Public Schools,Medium Poverty,Non-Title I,2.9,Jackson Davis Elementary Henrico County Public Schools
Harrington Waddell Elementary,Lexington City Public Schools,Low Poverty,Title I,0,Harrington Waddell Elementary Lexington City Public Schools
Lylburn Downing Middle,Lexington City Public Schools,Low Poverty,Non-Title I,0,Lylburn Downing Middle Lexington City Public Schools
Aldie Elementary,Loudoun County Public Schools,Low Poverty,Non-Title I,6.9,Aldie Elementary Loudoun County Public Schools
Arcola Elementary,Loudoun County Public Schools,Low Poverty,Non-Title I,3.3,Arcola Elementary Loudoun County Public Schools
Buffalo Trail Elementary,Loudoun County Public Schools,Low Poverty,Non-Title I,4.7,Buffalo Trail Elementary Loudoun County Public Schools
Goshen Post Elementary,Loudoun County Public Schools,Low Poverty,Non-Title I,10.3,Goshen Post Elementary Loudoun County Public Schools
John Champe High,Loudoun County Public Schools,Low Poverty,Non-Title I,6.3,John Champe High Loudoun County Public Schools
Pinebrook Elementary,Loudoun County Public Schools,Low Poverty,Non-Title I,7.4,Pinebrook Elementary Loudoun County Public Schools
Broad Run High,Loudoun County Public Schools,Low Poverty,Non-Title I,4.1,Broad Run High Loudoun County Public Schools
Cedar Lane Elementary,Loudoun County Public Schools,Low Poverty,Non-Title I,5.1,Cedar Lane Elementary Loudoun County Public Schools
Discovery Elementary,Loudoun County Public Schools,Low Poverty,Non-Title I,11.7,Discovery Elementary Loudoun County Public Schools
Sanders Corner Elementary,Loudoun County Public Schools,Low Poverty,Non-Title I,3.4,Sanders Corner Elementary Loudoun County Public Schools
Steuart W. Weller Elementary,Loudoun County Public Schools,Low Poverty,Non-Title I,6.6,Steuart W. Weller Elementary Loudoun County Public Schools
Stone Bridge High,Loudoun County Public Schools,Low Poverty,Non-Title I,7.6,Stone Bridge High Loudoun County Public Schools
Trailside Middle,Loudoun County Public Schools,Low Poverty,Non-Title I,10.5,Trailside Middle Loudoun County Public Schools
Brambleton Middle,Loudoun County Public Schools,Low Poverty,Non-Title I,3.6,Brambleton Middle Loudoun County Public Schools
Creighton's Corner Elementary,Loudoun County Public Schools,Low Poverty,Non-Title I,4,Creighton's Corner Elementary Loudoun County Public Schools
Eagle Ridge Middle,Loudoun County Public Schools,Low Poverty,Non-Title I,5.6,Eagle Ridge Middle Loudoun County Public Schools
Hillside Elementary,Loudoun County Public Schools,Low Poverty,Non-Title I,9.5,Hillside Elementary Loudoun County Public Schools
Independence High,Loudoun County Public Schools,Low Poverty,Non-Title I,8.6,Independence High Loudoun County Public Schools
Madison's Trust Elementary,Loudoun County Public Schools,Low Poverty,Non-Title I,10.6,Madison's Trust Elementary Loudoun County Public Schools
Mill Run Elementary,Loudoun County Public Schools,Low Poverty,Non-Title I,2.6,Mill Run Elementary Loudoun County Public Schools
Moorefield Station Elementary,Loudoun County Public Schools,Low Poverty,Non-Title I,4.5,Moorefield Station Elementary Loudoun County Public Schools
Rock Ridge High,Loudoun County Public Schools,Low Poverty,Non-Title I,9.4,Rock Ridge High Loudoun County Public Schools
Rosa Lee Carter Elementary,Loudoun County Public Schools,Low Poverty,Non-Title I,5.9,Rosa Lee Carter Elementary Loudoun County Public Schools
Stone Hill Middle,Loudoun County Public Schools,Low Poverty,Non-Title I,10.3,Stone Hill Middle Loudoun County Public Schools
Waxpool Elementary,Loudoun County Public Schools,Low Poverty,Non-Title I,5.1,Waxpool Elementary Loudoun County Public Schools
Hamilton Elementary,Loudoun County Public Schools,Low Poverty,Non-Title I,2.9,Hamilton Elementary Loudoun County Public Schools
Harmony Middle,Loudoun County Public Schools,Low Poverty,Non-Title I,0,Harmony Middle Loudoun County Public Schools
Kenneth W.Culbert Elementary,Loudoun County Public Schools,Low Poverty,Non-Title I,3.2,Kenneth W.Culbert Elementary Loudoun County Public Schools
Catoctin Elementary,Loudoun County Public Schools,Low Poverty,Non-Title I,4.2,Catoctin Elementary Loudoun County Public Schools
Frederick Douglass Elementary,Loudoun County Public Schools,Medium Poverty,Non-Title I,8,Frederick Douglass Elementary Loudoun County Public Schools
Heritage High,Loudoun County Public Schools,Low Poverty,Non-Title I,7.5,Heritage High Loudoun County Public Schools
J. Lupton Simpson Middle,Loudoun County Public Schools,Low Poverty,Non-Title I,4.4,J. Lupton Simpson Middle Loudoun County Public Schools
Loudoun County High,Loudoun County Public Schools,Low Poverty,Non-Title I,4.1,Loudoun County High Loudoun County Public Schools
Ball's Bluff Elementary,Loudoun County Public Schools,Low Poverty,Non-Title I,3.2,Ball's Bluff Elementary Loudoun County Public Schools
Belmont Ridge Middle,Loudoun County Public Schools,Low Poverty,Non-Title I,6.6,Belmont Ridge Middle Loudoun County Public Schools
Harper Park Middle,Loudoun County Public Schools,Low Poverty,Non-Title I,12.5,Harper Park Middle Loudoun County Public Schools
Lucketts Elementary,Loudoun County Public Schools,Low Poverty,Non-Title I,0,Lucketts Elementary Loudoun County Public Schools
Riverside High,Loudoun County Public Schools,Low Poverty,Non-Title I,6.3,Riverside High Loudoun County Public Schools
Seldens Landing Elementary,Loudoun County Public Schools,Low Poverty,Non-Title I,4.5,Seldens Landing Elementary Loudoun County Public Schools
Tuscarora High,Loudoun County Public Schools,Low Poverty,Non-Title I,7.7,Tuscarora High Loudoun County Public Schools
Dominion High,Loudoun County Public Schools,Low Poverty,Non-Title I,13.6,Dominion High Loudoun County Public Schools
Guilford Elementary,Loudoun County Public Schools,High Poverty,Title I,6.4,Guilford Elementary Loudoun County Public Schools
